Time,Temperature,Humidity,Roll,Pitch,Yaw
21,30.09185,30.47995,(-0.001342773,0, 1.015991)
31,30.05968,30.47995,(-0.001953125,-0.003173828, 1.01416)
41,30.08113,30.51047,(-0.001342773,-0.003295898, 1.013184)
51,30.13475,30.47232,(-0.003295898,-0.002807617, 1.013672)
61,30.1133,30.4418,(-0.003051758,-0.001831055, 1.016479)
71,30.1133,30.39603,(-0.001220703,-0.003417969, 1.015137)
81,30.08113,30.35788,(0.0006103516,-0.003417969, 1.014526)
91,30.09185,30.33499,(-0.002075195,-0.003417969, 1.015503)
101,30.05968,30.36551,(0.001464844,0.000610352, 1.016968)
111,30.03823,30.35788,(-0.0003662109,-0.003173828, 1.016357)
121,30.05968,30.3121,(-0.002685547,-0.000610352, 1.015625)
131,30.03823,30.29685,(0.0009765625,-0.00378418, 1.013062)
141,30.04895,30.3121,(0.0004882813,-0.001342773, 1.014282)
151,29.95242,30.3121,(0.0003662109,-0.002807617, 1.015503)
161,29.95242,30.31973,(-0.001831055,-0.001342773, 1.015625)
171,29.97388,30.32736,(-0.002563477,-0.000488281, 1.014771)
181,29.93098,30.34262,(-0.001586914,-0.000488281, 1.015869)
191,29.90952,30.36551,(0.001098633,-0.000976563, 1.016724)
201,29.92025,30.38077,(-0.001342773,-0.00012207, 1.014771)
211,29.90952,30.38077,(-0.001953125,-0.003295898, 1.017822)
221,29.8559,30.35025,(-0.002929688,-0.001831055, 1.014282)
231,29.84518,30.38077,(-0.002319336,-0.000854492, 1.013428)
241,29.77011,30.40366,(-0.001586914,-0.000244141, 1.01416)
251,29.75938,30.4418,(0.0007324219,-0.003662109, 1.010986)
261,29.7272,30.46469,(-0.0008544922,-0.003173828, 1.0177)
271,29.71648,30.50284,(-0.001098633,-0.002929688, 1.017334)
281,29.74865,30.53336,(0.0001220703,-0.001831055, 1.015015)
291,29.74865,30.54099,(-0.002197266,-0.002441406, 1.017212)
301,29.73792,30.49521,(-0.001098633,-0.002563477, 1.017334)
311,29.73792,30.49521,(-0.002563477,-0.001953125, 1.017822)
321,29.75938,30.48758,(-0.0004882813,-0.001464844, 1.016235)
331,29.74865,30.47232,(0.0004882813,-0.002197266, 1.012085)
341,29.80228,30.44943,(0.001220703,-0.00390625, 1.013794)
351,29.79155,30.43417,(-0.0004882813,-0.000366211, 1.0177)
361,29.78082,30.40366,(-0.002197266,-0.002075195, 1.012939)
371,29.7272,30.40366,(-0.0006103516,-0.001586914, 1.016968)
381,29.67358,30.41892,(-0.0009765625,-0.00378418, 1.016357)
391,29.66285,30.4418,(-0.001831055,-0.002197266, 1.011475)
401,29.61995,30.48758,(-0.0006103516,-0.002075195, 1.016846)
411,29.66285,30.50284,(-0.002441406,0.000610352, 1.014648)
421,29.6843,30.57913,(-0.002075195,-0.003051758, 1.014648)
431,29.7272,30.54099,(-0.001708984,-0.004272461, 1.01416)
441,29.63068,30.47995,(-0.001342773,-0.002807617, 1.019043)
451,29.60922,30.51047,(-0.002807617,-0.001464844, 1.013184)
461,29.6843,30.5181,(0.0007324219,-0.004272461, 1.016357)
471,29.6414,30.55624,(-0.001708984,-0.002319336, 1.016113)
481,29.63068,30.5715,(-0.001586914,0.002197266, 1.014648)
491,29.63068,30.53336,(0.001098633,-0.001586914, 1.013062)
1,30.08113,30.49521,(-0.001586914,-0.002563477, 1.015991)
